ID,dataset,diversity,moral,market,innovation,ethnic_cultural,gender,sexual_ori,age,ability,religion,text
x1034440496192671745,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The growing maturity of #fintech has led to an increase in the diversity of investors https://t.co/n7XuAAUcKi #FintechPulse
x1051865307848105984,1,Yes,No,No,No,No,No,No,No,No,No,More investors are actively looking to invest in #diverse organizations https://t.co/acf0DRaXCO #AssetMgmt https://t.co/CyHoXnagNF
x1064541557846614017,1,Yes,No,No,No,No,No,No,No,No,No,Today 50+ global CEOs signed a pledge to #EmbraceDifference We’re proud to support @erts_eu leaders to foster talent from across the entire spectrum of society. Why is equal opportunity imperative to our mission? Hear from CEO Nancy McKinstry #inclusion h
x1086631957822349312,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Steel is a truly diverse product, in both its composition and its uses #SteelMatters. Facts via @worldsteel https://t.co/TZhyKOjiLz"
x1088183360990732291,1,Yes,No,No,No,No,No,No,No,No,No,Who is talking about #diversity at #WEF19? Follow the conversation on #WEFLIVE https://t.co/ycwaJN111Z
x1088486911964995584,1,Yes,No,No,No,No,No,No,No,Yes,No,"""At #OYW last year, I laid out our ambition to put disability on the #WEF agenda. I am so proud to say that #disability inclusion will form a comprehensive part of this month’s annual meeting agenda."" So proud @CarolineBinc! @IrishTimes #WEF2019 https://t"
x1105408092408344576,1,Yes,No,No,No,No,Yes,No,No,No,No,"To celebrate #IWD2019, Isabelle Deschamps, General Counsel and member of the Executive Committee, led employee events in the Netherlands and Brazil, covering the topic of diversity and inclusion at AkzoNobel. Read about it in her latest blog: https://t.co"
x1107757512038772736,1,Yes,No,No,Yes,No,No,No,No,No,No,"Our inclusive company culture attracts, develops, and retains high-performing and diverse talent, which resonates with American workers. We're proud to be one of the @Forbes America’s Best Companies for #Diversity 2019.  https://t.co/8WxukKjssL https://t."
x1182612118153170944,1,Yes,No,No,No,No,No,Yes,No,No,No,Happy Coming Out Day! Today we celebrate the diversity of our TU Delft community. 🌈 #tudelft #comingoutday #pride https://t.co/SjqP9O51jw
x1187715462529990656,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The diversity of countries in Asia-Pacific attracting fintech investments signals the growth of fintech hubs throughout the region https://t.co/c4Gsgcbnxm #FintechPulse https://t.co/pEYHnzQDTk
x1218963592852254725,1,Yes,No,No,No,No,No,No,Yes,No,No,"Today there are 4 generations in the workplace: traditionalists, baby boomers, Generation X &amp; millennials.  

How well are you managing this diversity? Is it a strength or weakness? #InclusiveLeaders
#WEF20 #BetterWorkingWorld 

https://t.co/wBp1"
x1220702975401832448,1,Yes,No,No,No,No,No,No,No,No,No,"Building trust through transparency, responsible data, driving diversity &amp; inclusion; we discuss at #WEF20.

With @KellyGrierEY, @EY_US, @bradkeywell, @Uptake and Mark Thompson, @nytimes #BetterWorkingWorld https://t.co/WAj0nKJzGe"
x1228084443140763649,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We've found that Gen Z is made up of 5 diverse viewpoints and characteristics.

1. “Stressed strivers”
2. “Big plans, low energy”
3. “Authentic activists”
4. “Carefree constituents”
5. “Secluded perfectionists”

Learn more: https://t.co/okf7yYrXh6"
x1235912220548218881,1,Yes,No,No,No,No,No,No,No,No,No,.@ericsson has pledged to boost inclusion &amp; drive positive change within the tech sector. Thank you! Together we can #ChangeTheFace of technology. Join us here: https://t.co/6kORW2DcIH
x1237102776074874881,1,Yes,No,No,No,No,No,No,No,No,No,Diversity is an outcome of a more inclusive environment. Learn more in this video by Jane McCormick: https://t.co/wVUr3zKf8S #IWD2020 #futureisinclusive
x1237468301904805888,1,Yes,Yes,No,No,No,Yes,No,No,No,No,"If we all focus on the ‘S’ in ESG – driving Social change, that includes gender parity and diversity. https://t.co/r9gnBDvkOy #IWD2020 #EachforEqual"
x1278938441963667457,1,Yes,Yes,No,No,No,No,Yes,No,No,No,"BAM colleagues celebrate diversity and inclusion and share what #Pride means to them. Happy Pride!

#PRIDE2020  #PrideInside  #YouMeUsWe @BuildingEqLGBT 
https://t.co/NEx1fYUpcs"
x1314188715825287175,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Are algorithmic news recommenders causing 'filter bubbles' and threatening the democratic role of the media? UvA's Natali Helberger and her team are working with governments around the world to use the power of #AI to create more diverse recommendations.
"
x1315215565343121408,1,Yes,No,No,No,No,No,Yes,No,No,No,"Full support for our LGBTI+ employees on #ComingOutDay. An internal broadcast tomorrow will share Juliana Fochi’s Silveira Araujo story with our colleagues: “I’m glad to feel accepted for who I am, though I know not everyone feels the same yet.” 🏳️‍🌈 #A"
x1335282791366463489,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"If we eat a more diverse diet, farmers will increase the variety of crops they grow. 

“It’s better for the soil and the billions of micro-organisms that live within it,” says our Sustainable Sourcing Director Giulia Stellari. 

🌱 https://t.co/u1OhWJ"
x1355131327574544389,1,Yes,Yes,No,No,Yes,No,No,No,No,No,"“Creating a diverse and inclusive organisation requires intentional advocacy to combat racism and elimination of unconscious bias,” says our CEO @AlanJope 

Which is why we’re joining @WEF’s Racial Justice in Business initiative."
